50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 35 days, 6:00:00, reqId: 419, Date: 20230806 18:00:00 US/Eastern, O: 4500.0, H: 4507.25, L: 4499.75, C 4506.5
20230911, TimePassed: 35 days, 5:00:00, reqId: 419, Date: 20230806 19:00:00 US/Eastern, O: 4506.5, H: 4507.75, L: 4503.25, C 4507.0
20230911, TimePassed: 35 days, 4:00:00, reqId: 419, Date: 20230806 20:00:00 US/Eastern, O: 4507.25, H: 4513.0, L: 4506.5, C 4512.5
20230911, TimePassed: 35 days, 3:00:00, reqId: 419, Date: 20230806 21:00:00 US/Eastern, O: 4512.5, H: 4514.5, L: 4509.25, C 4514.0
20230911, TimePassed: 35 days, 2:00:00, reqId: 419, Date: 20230806 22:00:00 US/Eastern, O: 4514.0, H: 4516.5, L: 4513.5, C 4515.75
20230911, TimePassed: 35 days, 1:00:00, reqId: 419, Date: 20230806 23:00:00 US/Eastern, O: 4515.75, H: 4517.0, L: 4514.75, C 4515.5
20230911, TimePassed: 35 days, 0:00:00, reqId: 419, Date: 20230807 00:00:00 US/Eastern, O: 4515.5, H: 4515.75, L: 4512.25, C 4513.5
20230911, TimePassed: 34 days, 23:00:00, reqId: 419, Date: 20230807 01:00:00 US/Eastern, O: 4513.75, H: 4516.25, L: 4511.5, C 4515.0
20230911, TimePassed: 34 days, 22:00:00, reqId: 419, Date: 20230807 02:00:00 US/Eastern, O: 4515.0, H: 4516.5, L: 4509.25, C 4511.75
20230911, TimePassed: 34 days, 21:00:00, reqId: 419, Date: 20230807 03:00:00 US/Eastern, O: 4512.0, H: 4522.0, L: 4510.5, C 4521.5
20230911, TimePassed: 34 days, 20:00:00, reqId: 419, Date: 20230807 04:00:00 US/Eastern, O: 4521.5, H: 4521.75, L: 4508.25, C 4512.25
20230911, TimePassed: 34 days, 19:00:00, reqId: 419, Date: 20230807 05:00:00 US/Eastern, O: 4512.25, H: 4515.75, L: 4509.0, C 4513.75
20230911, TimePassed: 34 days, 18:00:00, reqId: 419, Date: 20230807 06:00:00 US/Eastern, O: 4513.75, H: 4515.25, L: 4504.75, C 4509.25
20230911, TimePassed: 34 days, 17:00:00, reqId: 419, Date: 20230807 07:00:00 US/Eastern, O: 4509.0, H: 4511.5, L: 4507.5, C 4509.75
20230911, TimePassed: 34 days, 16:00:00, reqId: 419, Date: 20230807 08:00:00 US/Eastern, O: 4509.5, H: 4518.5, L: 4505.25, C 4518.0
20230911, TimePassed: 34 days, 15:00:00, reqId: 419, Date: 20230807 09:00:00 US/Eastern, O: 4518.0, H: 4527.75, L: 4513.25, C 4516.0
20230911, TimePassed: 34 days, 14:00:00, reqId: 419, Date: 20230807 10:00:00 US/Eastern, O: 4515.75, H: 4530.0, L: 4510.5, C 4521.75
20230911, TimePassed: 34 days, 13:00:00, reqId: 419, Date: 20230807 11:00:00 US/Eastern, O: 4521.5, H: 4527.25, L: 4513.25, C 4526.25
20230911, TimePassed: 34 days, 12:00:00, reqId: 419, Date: 20230807 12:00:00 US/Eastern, O: 4526.25, H: 4529.0, L: 4520.25, C 4527.5
20230911, TimePassed: 34 days, 11:00:00, reqId: 419, Date: 20230807 13:00:00 US/Eastern, O: 4527.5, H: 4533.25, L: 4525.75, C 4533.25
20230911, TimePassed: 34 days, 10:00:00, reqId: 419, Date: 20230807 14:00:00 US/Eastern, O: 4533.25, H: 4536.0, L: 4525.5, C 4531.75
20230911, TimePassed: 34 days, 9:00:00, reqId: 419, Date: 20230807 15:00:00 US/Eastern, O: 4532.0, H: 4539.75, L: 4527.0, C 4538.0
20230911, TimePassed: 34 days, 8:00:00, reqId: 419, Date: 20230807 16:00:00 US/Eastern, O: 4538.0, H: 4541.75, L: 4536.75, C 4539.75
20230911, TimePassed: 34 days, 6:00:00, reqId: 419, Date: 20230807 18:00:00 US/Eastern, O: 4539.0, H: 4541.0, L: 4537.5, C 4538.25
20230911, TimePassed: 34 days, 5:00:00, reqId: 419, Date: 20230807 19:00:00 US/Eastern, O: 4538.25, H: 4539.25, L: 4537.25, C 4538.75
20230911, TimePassed: 34 days, 4:00:00, reqId: 419, Date: 20230807 20:00:00 US/Eastern, O: 4538.75, H: 4539.5, L: 4536.0, C 4537.25
20230911, TimePassed: 34 days, 3:00:00, reqId: 419, Date: 20230807 21:00:00 US/Eastern, O: 4537.0, H: 4537.25, L: 4527.0, C 4527.5
20230911, TimePassed: 34 days, 2:00:00, reqId: 419, Date: 20230807 22:00:00 US/Eastern, O: 4527.5, H: 4532.25, L: 4526.25, C 4530.5
20230911, TimePassed: 34 days, 1:00:00, reqId: 419, Date: 20230807 23:00:00 US/Eastern, O: 4530.75, H: 4531.75, L: 4526.75, C 4527.5
20230911, TimePassed: 34 days, 0:00:00, reqId: 419, Date: 20230808 00:00:00 US/Eastern, O: 4527.5, H: 4530.25, L: 4527.0, C 4529.5
20230911, TimePassed: 33 days, 23:00:00, reqId: 419, Date: 20230808 01:00:00 US/Eastern, O: 4529.5, H: 4530.25, L: 4522.5, C 4523.5
20230911, TimePassed: 33 days, 22:00:00, reqId: 419, Date: 20230808 02:00:00 US/Eastern, O: 4523.25, H: 4524.0, L: 4520.5, C 4522.25
20230911, TimePassed: 33 days, 21:00:00, reqId: 419, Date: 20230808 03:00:00 US/Eastern, O: 4522.25, H: 4528.5, L: 4520.0, C 4528.25
