50*#
START: 20230425 00:00:00 US/Central END: 20230515 00:00:00 US/Central
reqId: 419, Date: 20230502 02:00:00 US/Central, O: 4188.0, H: 4191.75, L: 4181.75, C 4182.25
reqId: 419, Date: 20230502 03:00:00 US/Central, O: 4182.25, H: 4182.5, L: 4178.5, C 4179.25
reqId: 419, Date: 20230502 04:00:00 US/Central, O: 4179.0, H: 4183.25, L: 4177.25, C 4179.75
reqId: 419, Date: 20230502 05:00:00 US/Central, O: 4179.75, H: 4180.5, L: 4175.5, C 4179.75
reqId: 419, Date: 20230502 06:00:00 US/Central, O: 4179.75, H: 4182.75, L: 4177.75, C 4179.25
reqId: 419, Date: 20230502 07:00:00 US/Central, O: 4179.25, H: 4179.5, L: 4174.0, C 4176.25
reqId: 419, Date: 20230502 08:00:00 US/Central, O: 4176.5, H: 4178.0, L: 4165.0, C 4167.0
reqId: 419, Date: 20230502 09:00:00 US/Central, O: 4167.0, H: 4171.0, L: 4117.5, C 4118.5
reqId: 419, Date: 20230502 10:00:00 US/Central, O: 4118.5, H: 4122.0, L: 4105.5, C 4114.75
reqId: 419, Date: 20230502 11:00:00 US/Central, O: 4114.5, H: 4126.25, L: 4111.75, C 4124.5
reqId: 419, Date: 20230502 12:00:00 US/Central, O: 4124.5, H: 4141.0, L: 4122.5, C 4136.0
reqId: 419, Date: 20230502 13:00:00 US/Central, O: 4136.25, H: 4140.0, L: 4125.75, C 4138.75
reqId: 419, Date: 20230502 14:00:00 US/Central, O: 4139.0, H: 4144.0, L: 4131.5, C 4137.25
reqId: 419, Date: 20230502 15:00:00 US/Central, O: 4137.0, H: 4139.25, L: 4133.0, C 4133.25
reqId: 419, Date: 20230502 17:00:00 US/Central, O: 4133.5, H: 4135.5, L: 4132.0, C 4133.5
reqId: 419, Date: 20230502 18:00:00 US/Central, O: 4133.75, H: 4138.5, L: 4132.75, C 4138.25
reqId: 419, Date: 20230502 19:00:00 US/Central, O: 4138.5, H: 4142.75, L: 4135.75, C 4142.0
reqId: 419, Date: 20230502 20:00:00 US/Central, O: 4141.75, H: 4142.5, L: 4138.5, C 4140.0
reqId: 419, Date: 20230502 21:00:00 US/Central, O: 4140.0, H: 4143.0, L: 4139.75, C 4141.5
reqId: 419, Date: 20230502 22:00:00 US/Central, O: 4141.5, H: 4143.25, L: 4140.5, C 4142.75
reqId: 419, Date: 20230502 23:00:00 US/Central, O: 4143.0, H: 4143.25, L: 4141.25, C 4142.5
reqId: 419, Date: 20230503 00:00:00 US/Central, O: 4142.75, H: 4145.75, L: 4142.0, C 4144.25
reqId: 419, Date: 20230503 01:00:00 US/Central, O: 4144.25, H: 4146.0, L: 4142.25, C 4144.0
reqId: 419, Date: 20230503 02:00:00 US/Central, O: 4144.0, H: 4147.75, L: 4141.0, C 4141.5
reqId: 419, Date: 20230503 03:00:00 US/Central, O: 4141.75, H: 4144.75, L: 4139.75, C 4142.0
reqId: 419, Date: 20230503 04:00:00 US/Central, O: 4142.0, H: 4144.25, L: 4139.25, C 4142.25
reqId: 419, Date: 20230503 05:00:00 US/Central, O: 4142.25, H: 4147.0, L: 4140.5, C 4141.75
reqId: 419, Date: 20230503 06:00:00 US/Central, O: 4141.75, H: 4148.0, L: 4141.25, C 4145.0
reqId: 419, Date: 20230503 07:00:00 US/Central, O: 4144.75, H: 4149.75, L: 4140.0, C 4140.25
reqId: 419, Date: 20230503 08:00:00 US/Central, O: 4140.5, H: 4154.5, L: 4138.5, C 4150.0
reqId: 419, Date: 20230503 09:00:00 US/Central, O: 4149.5, H: 4152.75, L: 4132.75, C 4136.5
reqId: 419, Date: 20230503 10:00:00 US/Central, O: 4136.25, H: 4143.25, L: 4130.5, C 4142.75
reqId: 419, Date: 20230503 11:00:00 US/Central, O: 4142.5, H: 4149.25, L: 4138.5, C 4149.25
